relation	sentence
Entity-Destination(e1,e2)	ساکنان با قرار دادن <e1>پيام </e1>در يك <e2>كپسول </e2>و قرار دادن كپسول در يك مجراي پيام ، پیام‌ها را به یکدیگر می فرستند .
Entity-Destination(e1,e2)	من <e1>گنجینه </e1>را در یک <e2>حفره </e2>طبیعی قرار دادم ، در پایه بخشی از یک طاق فروریخته .
Other	از آن به بعد ، میلیون‌ها <e1>دلار </e1>برای <e2>بازسازی </e2>خانه برای قربانیان سونامی در سال 2004 هزینه شده است .
Cause-Effect(e2,e1)	اسطوخدوس برای درمان <e1>سردرد </e1>ناشی از کوفتگی و <e2>خستگی </e2>عالی است .
Other	<e1>یک سارق </e1>مسلح یک گلوله را به <e2>پای </e2>راستش شلیک کرد و با چند صد دلار از خواروبار فروشی او در نورث‌وست ساید فرار کرد .
Member-Collection(e2,e1)	جانی به یاد آورد که دو نفر از آن‌ها پیشخدمت هایی داشتند که ابتدا یک <e1>جفت </e1><e2>اردک </e2>و یا قرقاول پرکنده را برای آن‌ها می آوردند تا قبل از پخته شدن ، آن را مورد بررسی قرار دهند .
Message-Topic(e2,e1)	در ماه‌های اخیر <e1>فرهنگ شهرنشینی </e1>موضوعی پر <e2>بحث </e2>در روزنامه‌ها بوده است .
Component-Whole(e1,e2)	موبی دل اولین <e1>نهنگ اورکای </e1>گرفتار به نمایش گذاشته شده در <e2>نمایشگاه </e2>آکواریوم عمومی بود .
Component-Whole(e2,e1)	من‌ اطمینان دارم که <e1>کانفیگوراتور </e1>موجود ، از <e2>بخش </e2>های متعددی که به طور ماهرانه ای ، احتمالا اغلب درون این برنامه ی ))کانفیگ شده((، لایه بندی شده اند ، درست شده است .
Other	در جریان این مسابقه ، یک <e1>جنگ </e1>جدید از کلمات در <e2>اینترنت </e2>و نسخه‌ای جدید از حماسه داغ به وجود آمد .
Other	یک انحصار <e1>وراثت </e1>با <e2>زمان </e2>تنظیم وصیت نامه مرتبط است .
Component-Whole(e2,e1)	<e2>پنجره‌های </e2>این <e1>قطار </e1>پرده‌های زیبایی دارند .
Component-Whole(e2,e1)	علی رغم شکست در نشان دادن مد بودن ظاهر بیرونی <e1>لباس </e1>، <e2>سینه بند </e2>داخلی با یک قسمت از ملافه کتانی ساخته شده بود که در آن هنوز هم هر فردی می توانست قلاب دوزی‌های داخلی اش را ببیند .
Other	تگزاس برای <e1>سرکوب </e1><e2>اعدام‌ها </e2>آماده می شود .
Component-Whole(e2,e1)	حالت ایستادن گتوتسو به این شکل است که در حالیکه با دست چپ <e1>شمشیر </e1>را از <e2>دسته </e2>اش در دست گرفته ، دست راستش را بالای نوک تیغه شمشیر نگاه داشته است .
Content-Container(e1,e2)	<e1>جاذب </e1>در یک <e2>رآکتور </e2>3 لیتری قرار داشت .
Product-Producer(e1,e2)	<e1>تبلیغات </e1>بالا از <e2>ارائه دهندگان </e2>سرور است نه از من .
Instrument-Agency(e1,e2)	آیکون‌های فرهنگی فلامنکو و گاوبازی مانند شاخ‌های گاو ارواح در گاو بازی و یا <e1>سندان </e1>رومانی ( کولی ) <e2>آهنگرها </e2>در این نقاشی‌ها استفاده شدند تا به صورت بصری یک آواز سگویریاس بخوانند .
Component-Whole(e2,e1)	<e1>اسب </e1><e2>پوزه </e2>اش را به پسر می مالد .
Member-Collection(e2,e1)	هر روز صبح / شب ما یک <e1>بیماری طوطی </e1>از <e2>طوطی‌های </e2>سبز که چندین حلقه در اطراف خانه مان میزنند داریم .
Other	چندین اسکریپت برای خاموش کردن ویندوز ، هایبرنیت یا قرار دادن <e1>کامپیوتر </e1>در <e2>خواب </e2>وجود دارد .
Member-Collection(e2,e1)	شعر او با موفقیت روز افزون آغاز شد ، و در سال 1933 او با پیوستن به <e1>جمعی </e1>از <e2>نویسندگان </e2>جوان در مجله اوگونیوک ، قادر به گذران زندگی خود تنها از طریق آثارش شد .
Cause-Effect(e2,e1)	<e1>موج </e1>شوک توسط مواد <e2>منفجره </e2>ساخته شده از RDX تولید شده بود .
