Component-Whole(e2,e1)	کودکانی که روی زانوی مادرشان نشسته بودند ، با اسباب‌بازی روی یک میز جلوی  <e1> تصویری  </e1> که در آن  <e2> سوراخ هایی  </e2> بود بازی می‌کردند .
Content-Container(e1,e2)	یک  <e1> نسخه  </e1> از این نظرسنجی در  <e2> بسته‌های  </e2> پشتیبان تهیه شده است .
Entity-Destination(e1,e2)	شرکت در تلاشی مایوسانه به این  <e2> پروژه  </e2>  <e1> پول  </e1> داد .
Message-Topic(e1,e2)	هر سوال نیاز به یک  <e1> یادداشت  </e1> متنی دارد تا  <e2> امتیازبندی  </e2> را توضیح دهد .
Other	 <e1> صحنه ورزش  </e1>  <e2> قدرت  </e2> خود را در مبارزه نشان می کند .
Member-Collection(e2,e1)	خریدار ، یک  <e1> سندیکای  </e1>  <e2> سرمایه گذاران  </e2> اروپایی است که اولین سرمایه گذاری خود را در نیوزیلند انجام می دهند .
Entity-Destination(e1,e2)	دانشمند  <e1> ماده  </e1> مایع را در سه مرحله به یک  <e2> شیشه نمونه  </e2> ریخت .
Member-Collection(e2,e1)	بر اساس یک قضاوت نادرست شورای تحقیقات ملی اجازه داد که  <e1> هیئت  </e1>  <e2> طرفداران  </e2> هیدروژن گزارش عمیقا ناقصی را بر ضد هیبرید‌های پلاگین منتشر کند .
Cause-Effect(e2,e1)	 <e1> سقط جنین  </e1> به علت  <e2> مشکلات  </e2> یکباره و غیر قابل تکرار   ژنتیکی   اتفاق می افتد .
Other	 <e1> آژانس  </e1> قانونگذاری ایالات متحده در حال تحقیق بر روی  <e2> اظهاراتی  </e2> بود که حداقل یک هواپیما برا پرواز نا امن در نظر گرفته می شد .
Entity-Origin(e1,e2)	هنگامی که پسر  <e2> روزنامه فروش  </e2> این  <e1> خبر  </e1> را اعلام کرد ، شهر غرق شادی شد .
Instrument-Agency(e2,e1)	از اسکاتلندی‌ها ( لینگل ) و فرانسوی ( لینیول ، لینول ) ، یک  <e2> نخ  </e2> دوزندگی  <e1> کفاشی  </e1> به وجود آمد، و رشد کرد و به کمال رسید ( نگاه کنید به بخش پایان رشد ) .
Message-Topic(e1,e2)	 <e1> بحث  </e1>  <e2> گراف‌ها  </e2> ومولتی گراف‌ها را به عنوان شاخه‌ای از علم می داند .
Message-Topic(e1,e2)	این به کاربران اجازه میدهد تا  <e1> نمودارهایی  </e1> برای مقایسه  <e2> ویژگی‌ها  </e2> و مشخصات سوخت‌های جایگزین ایجاد کنند .
Other	بسیاری از  <e1> دانشجویان  </e1> در  <e2> برنامه‌های  </e2> تدریس مالی که توسط قانون به آنها پرداخته بودند شرکت کردند ، اما عناصر بحث برانگیز گزینه هایی برای مدارس دولتی یا برنامه‌های تدریس نبودند ( هر دو که هرگز به آن نرسیده بودند ) .
Cause-Effect(e1,e2)	اما فقط فکرشو بکن ،  <e1> غم  </e1> منجر به  <e2> ترس  </e2> و سپس ترس منجر به خشم میشود .
Member-Collection(e2,e1)	آنها بر روی  <e1> لانه‌ای  </e1> از  <e2> تمساح‌های  </e2> آب شور که خانه خود را در نزدیکی خط ساحلی در عمق باتلاق ساخته بودند ، لغزیدند .
Other	او از  <e1> خلاقیتش  </e1>  <e2> استفاده  </e2> می کند .
Cause-Effect(e1,e2)	 <e1> آب ورودی  </e1> سبب ایجاد  <e2> لکه  </e2> بر روی دیوار شد که از طریق لنز پاریدولیا مانند یک مرد ریشدار به نظر میرسید .
Cause-Effect(e2,e1)	 <e1> شاخص  </e1> اصلی  <e2> وضعیت  </e2> سلامت درختان . جایگاه‌ها و جنگل‌ها در از بین بردن درخت است .
Member-Collection(e2,e1)	راشل ، کتی و چلو از  <e1> وول خوردن  </e1>  <e2> کرم‌ها  </e2> از مزارع کرم که در سفر به پارک ژل پارک گلن وورلی ساخته بودند ، لذت می برند .
Content-Container(e2,e1)	من همیشه  <e1> چمدان  </e1> را با  <e2> لباس‌های  </e2> داخل ان حمل می کنم .
Entity-Destination(e1,e2)	سالها ،  <e1> ماجراجویان  </e1> از سرتاسر قلمروهای نخستین در جستجوی شکوه و ثروت به  <e2> اعماق  </e2> تاریک سفر کرده اند .
Other	 <e1> میتوکندریا  </e1> فقط ار طریق سلولهای تخمک به  <e2> نسل‌های  </e2> بعد از آن منتقل شده بود .
Entity-Destination(e1,e2)	خط لوله شکسته اگژون 567000 گالن  <e1> نفت  </e1> را به  <e2> بندر  </e2> نیویورک رساند .
Entity-Destination(e1,e2)	 <e1> فرصت‌های شغلی  </e1> در هند به  <e2> بخش مشاغل  </e2> ما اضافه شده بود .
Component-Whole(e2,e1)	این  <e1> روش  </e1> از  <e2> مرحلهی  </e2> تزریق تقریبا 5-25 میلی متر ترکیبات نقره‌ای , یک الی پنج بار در روز به صورت سرپایی تا زمانی که نتیجه حاصل شود , تشکیل میشود .
Instrument-Agency(e2,e1)	 <e1> راننده  </e1> کامیون سیمان٬ مجرای بارگیری را بر روی کامیون خود با یک  <e2> شیلنگ  </e2> آب تمیز کرد و شروع به عقب رفتن کرد .
Component-Whole(e1,e2)	در  <e2> آشپزخانه  </e2> من یک پنجره روشن و شاداب با لولای زرد رنگ بالای  <e1> سینک  </e1> داریم .
Other	با این حال ، این حقیقت که خوک‌های دریایی به نظر می رسد به صورت فیزیولوژیکی طبیعی عمل می کنند ، نشان می دهد که  <e1> رژیم‌های  </e1> غذایی دارای  <e2> تراکم انرژی  </e2> لازم هستند .
Other	از طریق یک جواهر فروش که جواهرات دست دوم هم معامله می کرد ، یک  <e2> حلقه  </e2>  <e1> الماس  </e1> فروختیم .
Entity-Origin(e1,e2)	 <e1> طعمه  </e1> از زیر  <e2> سردخانه  </e2> خارج شد .
Product-Producer(e1,e2)	آنها عموما انگور را از کشاورزان خریداری کردند و یا از  <e1> شراب  </e1> تولید شده توسط   شراب    <e2> سازی‌های  </e2> تعاونی خریداری می کردند .
Product-Producer(e2,e1)	 <e1> نویسنده‌ای  </e1> که در سالتلیک سیتی زندگی می کند اخیرا  <e2> تاریخچه‌ای  </e2> را در مورد تجاربش به عنوان یک مبلغ مورمون به پایان رسانده است .
Member-Collection(e2,e1)	پراکنده در میان این  <e1> رسته  </e1> از  <e2> ببرهای  </e2> سلجوقی ، میلیاردها یورو از طریق یک حساب محاسبه شده برای بازده سودآور توسط بانک انگلو ایرلندی در دهه گذشته وام گرفته شده است .
Instrument-Agency(e2,e1)	 <e1> کاربر  </e1> اطلاعات فضایی-زمانی را به طور شهودی با استفاده از  <e2> حرکات  </e2> وارد می کند .
Instrument-Agency(e2,e1)	تعمیرات LC یک  <e1> سیستم  </e1> جوش ویژه است که از یک  <e2> پرتو  </e2> لیزر YAG با قدرت بالا استفاده می کند .
Cause-Effect(e2,e1)	 <e1> جزرومدهای  </e1> ناشی از  <e2> خورشید  </e2> روش‌های دقیقا مشابهی با آنهایی که توسط ماه ایجاد می‌شوند را دنبال می‌کنند .
Message-Topic(e1,e2)	این  <e1> راهنما  </e1>  <e2> ترتیب زمانی  </e2> ظهور ژانرهای موسیقی الکترونیک را نشان می دهد .
Message-Topic(e1,e2)	اکثر  <e1> اصلاحات  </e1> اعلام شده به  <e2> تغییرات  </e2> در مکانیسم‌های تخصیص بود .
Other	برای ایجاد مهر و موم خوب ، تولید کنندگان فوم یا مهر پر شده از ژل را بین  <e2> بادکش  </e2>  <e1> گوش  </e1> و سر تان را قرار میدهند .
Component-Whole(e2,e1)	او  <e1> سانتریفیوژ  </e1> را با  <e2> روتور‌ها  </e2> و سطل هایی که نشان دهنده خوردگی یا آسیب مکانیکی هستند را راه اندازی کرد .
Message-Topic(e1,e2)	این  <e1> برنامه  </e1>  <e2> ماجراهای  </e2> یک بیگانه اسرار آمیز،شبیه انسان را نشان می دهد .
Message-Topic(e1,e2)	این شامل  <e1> قوانین  </e1> حاکم بر  <e2> نقل و انتقالات  </e2> ، واجد شرایط بودن تحصیلی ، شرط سنی ، و تعداد فصل‌های متوالی واجد شرایط بودن ورزشی بعد از پایه هشتم است .
Entity-Origin(e2,e1)	 <e1> جلگه پایین دست  </e1> عمدتا برای  <e2> پستانداران گوشتی  </e2> تحت کشت هست با تنها یک شرکت لبنی و یک واحد تولید مرغ ، بنابراین کاربری زمین به طور کامل مرتع است .
Entity-Origin(e1,e2)	تجزیه و تحلیل متوالی نشان داد که این  <e1> قطعه  </e1> از یک  <e2> ژن  </e2> تیمووزین B15 حاوی آنترون تولید شده بود .
Message-Topic(e1,e2)	 <e1> بخش هایی  </e1> از کتاب مربوط به  <e2> روش‌های کمی  </e2> به وضوح نوشته شده و حاوی جزئیات بیشتری از آنچه معمولا در کتاب‌های مشابه یافت می شود است .
Component-Whole(e2,e1)	ژین‌هویو  <e1> ضرب المثلی  </e1> چینی است که متشکل از دو  <e2> بخش  </e2> است .
Other	 <e1> متهم  </e1> به جرم تجاوز  <e2> دستگیر  </e2> شد .
Content-Container(e2,e1)	در حال حاضر ، من یک  <e1> بطری  </e1> پلاستیکی حاوی  <e2> الکل  </e2> دارم که شب‌ها در آن مژه‌های مصنوعی ام که درآورده ام را می گذارم تا آنها را پاک کنم و از آنها حفاظت کنم .
Entity-Destination(e1,e2)	او  <e1> پاسخ‌ها  </e1> را در  <e2> وب‌سایت  </e2> پست کرد .
Other	این رهبران شرکت‌ها  <e1> الزام  </e1> وودرو ویلسون به  <e2> بورس تحصیلی  </e2> را به ارث برده اند .
Entity-Destination(e1,e2)	این روش٬ روشی را برای بارگذاری یک  <e1> بسته  </e1> افقی از ظروف به داخل  <e2> کارتن  </e2> مدنظر قرار می‌دهد .
Instrument-Agency(e2,e1)	 <e1> کشاورزان  </e1> مزرعه خود را با  <e2> اثاثیه‌ای  </e2> پر می کنند که اروپایی‌ها آنها را فقط در موزه‌ها دیده اند .
Entity-Destination(e1,e2)	 <e1> نوارها  </e1> برای جوجه کشی در داخل  <e2> اتاق‌های  </e2> جداگانه قرار داده شده بودند .
