Entity-Destination(e1,e2)	محقق  <e1> گزارش  </e1> خود را مورد این مورد به  <e2> عموم  </e2> منتشر است .
Product-Producer(e2,e1)	 <e1> ایروسل باکتریایی  </e1> از یک  <e2> مهپاش  </e2> پیش ساخته تهیه شده است .
Entity-Origin(e2,e1)	دو سال پیش من  <e2> سس  </e2>  <e1> کرانبری  </e1> را درست کردم تا برایش بمیرم .
Content-Container(e1,e2)	آنها متوجه شدند که این  <e1> تجهیزات  </e1> درون  <e2> کشو‌های  </e2> بزرگ قرار داده شده است که بسیار خوشایندتر و مرتب تر به نظر می رسید .
Content-Container(e1,e2)	 <e1> حلقه  </e1> در یک  <e2> لیوان  </e2> شامپاین بود و تمام خانواده شوهر حضور داشتند .
Other	سلیقه خوب او در تشخیص پنیر خوب منجر به  <e2> موفقیت  </e2> تجاری  <e1> کارخانه  </e1> می شود .
Other	اندازه تصاویر ریز با یک  <e1> نوار  </e1> اسلاید در  <e2> گوشه  </e2> بالا سمت راست پنجره تغییر می کند .
Component-Whole(e2,e1)	باد چتر را بلند کرد میز را کج کرد ، برخی از  <e2> دنده‌های  </e2>  <e1> چتر  </e1> را شکست ، و تقریبا نصف سیم‌های را پاره کرد .
Other	این  <e1> شهروندان  </e1> در  <e2> پلیدی  </e2> غرق شده اند .
Component-Whole(e2,e1)	این یک نوآوری هیجان انگیز برای صنعت بسته بندی بود زیرا  <e1> قوطی  </e1> کنسرو آلومینیومی از تنها دو قطعه ساخته شده بود -  <e2> بدنه  </e2> و ته .
Component-Whole(e1,e2)	گونه‌های درون <e1> روده  </e1>  <e2> گربه  </e2> مشابه آنچه دهان گربه یا حیوانات دیگر یافت میشوند نیستند .
Entity-Destination(e1,e2)	جان وینگ از هر زمانی که یک  <e1> حلقه  </e1> را داخل  <e2> سوراخ  </e2> میکرد ، استفاده کرد تا اطمینان حاصل شود که دچار برداشت اشتباه نشده است .
Other	هر  <e1> دانش آموز  </e1> در  <e2> جلسه  </e2> کنفرانس وب شرکت می کند .
Component-Whole(e1,e2)	زمانی که  <e1> بازوی  </e1>  <e2> رقاص  </e2> پیش حرکت می کرد ، تکانه حرکت او را شکاند .
Instrument-Agency(e2,e1)	همانطور که من جهان را گشتم و در هر گوشه‌ای مشکل صورت داشتم ، در نهایت یک  <e1> درمانگر  </e1> با  <e2> راهکاری  </e2> عالی برای درمان صورتم پیدا کردم .
Component-Whole(e1,e2)	کشش  <e2> کمان  </e2> ام در طول ریسمان گاهی باعث  <e1> وقفه  </e1> در ارتعاش و حرکت بالا و پایین   کمان   
Cause-Effect(e2,e1)	شکست ازدواج اغلب به  <e1> غم و اندوه  </e1> حل نشده از ناباروری ، <e2> سقط جنین  </e2> و از دست دادن یک نسبت داده میشود .
Product-Producer(e2,e1)	دیده شده که یک  <e1> مادر  </e1> یک  <e2> قایق  </e2> کوچک از پوست خرد شده برای او و فرزندانش ساخته است ، اما آن میان تکه یخ‌های شناور به سرعت غرق شده است .
Cause-Effect(e2,e1)	ما متوجه که  <e1> میگرن‌های  </e1> مزمن و درد گردن من توسط  <e2> صدمات  </e2> وارد در اولین حادثه تصادفم در دو و نیم سال پیش ، ایجاد شده بود .
Component-Whole(e2,e1)	 <e1> مایکروویو  </e1> ما یک  <e2> سینی  </e2> گردان در داخل و قابل شماره گیری در خارج است .
Entity-Destination(e1,e2)	شرکت در تلاشی مایوسانه به این  <e2> پروژه  </e2>  <e1> پول  </e1> داد .
Instrument-Agency(e2,e1)	 <e1> پرستار  </e1> <e2> چاقوی کوچک جراحی  </e2> در دارد .
Entity-Destination(e1,e2)	 <e1> بیماری  </e1> قلب و به  <e2> شهرهای بزرگ  </e2> شده است .
Other	این <e1> نشانه  </e1> به معنی  <e2> اتفاقات سریالی  </e2> .
Cause-Effect(e2,e1)	ترکیب مساوی از نعناع و گل الدر به  <e1> تب  </e1> و درد ناشی از  <e2> سرماخوردگی  </e2> و آنفولانزا کمک می .
Product-Producer(e2,e1)	این  <e1> قانون  </e1> ساده  <e2> جملاتی  </e2> مانند ABAB را تولید می کند .
Other	جلسه صبح  <e1> سمپوزیوم  </e1> با یک ضیافت ناهار برای  <e2> میهمانان  </e2> به پایان می رسد .
Entity-Destination(e1,e2)	باد‌های گرم قوی از شمال غربی و شمال ،  <e1> ملخ‌ها  </e1> را به نزدیکترین  <e2> ناحیه  </e2> حمل می کنند .
Entity-Destination(e1,e2)	بنابراین ، در طول بهره برداری طولانی مدت یک راکتور با یک خنک کننده سدیم ،  <e1> رادیونوکلئید‌ها  </e1> به  <e2> فولاد  </e2> ضد زنگ مهاجرت می کنند تا عمق ۱۰۰ - ۱۱۰ ~ متر .
Product-Producer(e2,e1)	نهایت این  <e1> شرکت  </e1>  <e2> دستگاه‌ها  </e2> را کرد .
Message-Topic(e1,e2)	این  <e1> برنامه‌ها  </e1> در طول یک قرن کودکی ،  <e2> بازی‌های  </e2> مورد علاقهی انگلیس را بررسی کردند .
Product-Producer(e1,e2)	 <e1> پیام  </e1> توسط  <e2> فرستنده  </e2> ساخته شده است .
Other	این  <e1> قرارداد ،  </e1>  <e2> تخلیه  </e2> مواد مضر را در نظر گرفت .
Component-Whole(e2,e1)	 <e1> زنجیره‌  </e1> از  <e2> جزایر  </e2> شواهدی را نشان می دهد که صفحه اقیانوس به سمت شمال غربی حرکت می کند .
Entity-Origin(e2,e1)	یک آبجو طبیعی 8 زلوتی و 2 یورو است و آبجو با  <e2> شیره  </e2>  <e1> تمشک  </e1> 9 زلوتی است .
Other	تقسیم به  <e1> دسته‌های  </e1> مختلف ، شامل  <e2> گردشگری  </e2> ، خدمات مالی ، مانند بانک‌ها ، شرکت‌های بیمه ، حمل و نقل ، ارتباطات راه دور ، پول نیروی کاری که در خارج کار می کنند ، خدمات عمومی , مانند خدمات بهداشتی ، بهداشت و آموزش و پرورش , و خدمات عمومی مانند آب ، برق و گاز , میشود .
Cause-Effect(e2,e1)	به عنوان یک گیتاریست ، از  <e2> نواختن  </e2> و اجرای موسیقی  <e1> رضایت  </e1> زیادی بدست می آورم .
Other	 <e1> تک تیرانداز  </e1> واشنگتن <e2> کشته  </e2> است .
Entity-Origin(e1,e2)	این مقاله تجزیه و تحلیل یک ترکیب شیمیایی از  <e1> گازهای  </e1> ناشی از  <e2> منابع  </e2> زمین گرمایی در منطقهی هرکولان اسپا < در رومانی > را ارائه می دهد .
Product-Producer(e1,e2)	با  <e1> قطعه  </e1> هایی که توسط  <e2> عزیزانی  </e2> که در اثر بیماری ایدز جان خود را از دست دادند ، طراحی و دوخته شده بودند ، لحاف کامل شده توانست برای آخرین بار در تابستان سال 1996 در مرکز خرید واشنگتن ظاهر شود .
Content-Container(e1,e2)	ما  <e1> محتویات  </e1> یک  <e2> بسته  </e2> را در یک پارچ آب حل و چرخه آمیختن را اجرا .
Other	یک  <e1> عکس  </e1> فریدریک را به یاد یک  <e2> خاطره  </e2> فراموش شده از دوران کودکی اش که در مورد یک زن مرموز جوان در لباس سفید است می اندازد .
Other	 <e1> عمه  </e1> من از از دست دادن حاظه رنج می برد و تحت  <e2> مراقبت  </e2> قرار گرفته است .
Other	ما یک تست قابلیت کاربردی بر روی سیستم ناوبری کلی شرکت برای طراحی مجدد اینترانت پیشنهاد شده توسط  <e2> شرکت  </e2>  <e1> هیت کر  </e1> انجام دادیم .
Product-Producer(e2,e1)	<e1> برجسته نما  </e1> همان  <e2> خروجی  </e2> را تولید می کند
Cause-Effect(e1,e2)	 <e1> افسردگی  </e1> یکی 10 علت اصلی  <e2> خودکشی  </e2> در بین پزشکان و پرستاران متخصص .
Other	کار توسط <e1> پیمانکاران  </e1> با استفاده از  <e2> ورودی  </e2> موقت رن‌ویک رُود کامل شد .
Component-Whole(e1,e2)	ما مقاومت الکتریکی  <e1> چنگ‌های  </e1> پنجهی  <e2> موشها  </e2> را تحت همان شرایطی که قبلا در مطالعات واکنش اجتناب ناپذیر برقرار بود , بررسی کردیم .
Content-Container(e1,e2)	این  <e1> گوشت خرچنگ  </e1> در یک  <e2> قوطی  </e2> کنسرو بود ، اما در یخچال در بخش غذاهای ، نه در راهرو مواد غذایی با تن ماهی .
Member-Collection(e2,e1)	همه چیز انجام شده است ، تمام اعمال است و هر کس به شدت تلاش کرده است انگیزهی این  <e1> گروه  </e1> از دانش آموزان  <e2> ناکارآمد  </e2> را داشته باشد .
Other	 <e1> جو  </e1> درون  <e2> ماشین  </e2> بسیار آرام بود بطوريكه زن و شوهر همانطور تا خانه ادامه دادند و به تختخواب رفتند .
Other	میدان تافاوا بالوا ( TBS در میزبان یک  <e1> کهکشان  </e1> از  <e2> رخداد‌ها  </e2> با جاذبه‌های گردشگری و فرهنگی بود .
Cause-Effect(e1,e2)	 <e1> مرگ  </e1> موش باعث  <e2> جابجایی  </e2> کک میشود ، و اگر میزبان او انسان باشد به او سرایت می کند .
Cause-Effect(e2,e1)	نوسان ولتاژ قابل دسترسی در طول بار بیشتر از  <e1> نوسان  </e1> ولتاژ خروجی قابل دستیابی از خود  <e2> تقویت کننده  </e2> است ، بنابراین کارایی سیستم تقویت کننده و ظرفیت کنترل قدرت سیستم بهبود یافته است .
Entity-Origin(e1,e2)	بیشتر  <e1> متن  </e1> مستقیما از  <e2> منابع اولیه  </e2> استخراج شده بود ، که مستلزم ارائه اطلاعاتی بسیار بیشتر از معمول در مرحله اپرا است .
Message-Topic(e2,e1)	این شورا موافقت نهایی با  <e1> اسناد  </e1> دیگر که در  <e2> جلسات  </e2> قبلی در نظر گرفته شده بود ، تایید کرد .
Message-Topic(e1,e2)	به طور معمول در یک  <e1> دوره  </e1> طولانی مدت که  <e2> ابتکار  </e2> را تشریح می کند حضور می یابند
Product-Producer(e2,e1)	<e1> ایروسل باکتریایی  </e1> از یک  <e2> مهپاش  </e2> پیش ساخته تهیه است .
Entity-Origin(e1,e2)	وقتی  <e1> رییس ایل  </e1> ، ابراهیم ،  <e2> سرزمین  </e2> بومی خود را ترک کرد ، خدا به او وعده بسیار بزرگی داد .
Product-Producer(e2,e1)	<e1> فرستنده هرزنامه  </e1> یک  <e2> ربات  </e2> ساده مي نويسد که به سایت شما می آید صفحه ثبت نام را هدف ميگيرد .
Entity-Origin(e1,e2)	 <e1> روغن  </e1> از  <e2> دانه  </e2> گیاه آبیسینکا کرامب کشت شده در ایتالیا در سال 1992 استخراج شده است با استفاده از فرایند سرد جدید فشرده سازی مکانیکی .
Cause-Effect(e2,e1)	 <e1> آلودگی  </e1> ناشی از <e2> خرابی کشتی  </e2> .
Content-Container(e2,e1)	جادوگر یک  <e1> بطری  </e1> پر از  <e2> نوشابه  </e2> را نشان می دهد .
Member-Collection(e2,e1)	یکی از رویکردها این است که  <e1> مجموعه‌ای  </e1> از  <e2> درخت‌های تصمیم  </e2> داشته باشیم ، به طوریکه هر ساختمان داده درخت تصمیم منحصر به خود را داشته باشد .
Content-Container(e1,e2)	 <e1> شمشیر  </e1> در یک  <e2> جعبه  </e2> پر از طلا و جواهرات داده شد
Content-Container(e1,e2)	 <e1> عنکبوت  </e1> در یک  <e2> جعبه شیشه‌ای  </e2> قرار داشت ، اما به اندازه کافی بزرگ و به اندازه کافی نزدیک بود تا اثر مورد نظر را باشد
Other	در نتیجه مغز از  <e1> دوپامین  </e1> خالی می شود ، باعث  <e2> افسردگی  </e2> شدید پس از بین رفته اثر کوکایین میشود .
Member-Collection(e2,e1)	این  <e1> برادری  </e1> نژاد  <e2> روگ‌ها  </e2> قدرتمندترین سازمان جنایی در شهر .
